first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
ענבר,דוד,ענבר דוד,"רכזת שיקום ארצית, אגף השיקום, המוסד לביטוח לאומי",10,2016-11-01,"אגף השיקום, המוסד לביטוח לאומי",רכזת שיקום ארצית,"ענבר דוד - רכזת שיקום ארצית, אגף השיקום, המוסד לביטוח לאומי"
ארנה,זמיר,ארנה זמיר,"מנהלת אגף סיעוד, המוסד לביטוח לאומי",10,2016-11-01,המוסד לביטוח לאומי,מנהלת אגף סיעוד,"ארנה זמיר - מנהלת אגף סיעוד, המוסד לביטוח לאומי"
הראל,ריקלין,הראל ריקלין,"מנהל הגמלאות, אגף חקיקה, המוסד לביטוח לאומי",10,2016-11-01,"אגף חקיקה, המוסד לביטוח לאומי",מנהל הגמלאות,"הראל ריקלין - מנהל הגמלאות, אגף חקיקה, המוסד לביטוח לאומי"
נתי,ביאליסטוק כהן,נתי ביאליסטוק כהן,"מנכ""ל, המרכז לעיוור",10,2016-11-01,המרכז לעיוור,"מנכ""ל","נתי ביאליסטוק כהן - מנכ""ל, המרכז לעיוור"
יאיר,מרקוס,יאיר מרקוס,"עוזר מנכ""ל, המרכז לעיוור",10,2016-11-01,המרכז לעיוור,"עוזר מנכ""ל","יאיר מרקוס - עוזר מנכ""ל, המרכז לעיוור"
מירב,הירש,מירב הירש,"סמנכ""ל, המרכז לעיוור",10,2016-11-01,המרכז לעיוור,"סמנכ""ל","מירב הירש - סמנכ""ל, המרכז לעיוור"
מיכאל,בן הרוש,מיכאל בן הרוש,"ועדת נגישות, לשכת המסחר ירושלים",10,2016-11-01,לשכת המסחר ירושלים,ועדת נגישות,"מיכאל בן הרוש - ועדת נגישות, לשכת המסחר ירושלים"
רני,בנאי,רני בנאי,"ועדת נגישות, לשכת המסחר ירושלים",10,2016-11-01,לשכת המסחר ירושלים,ועדת נגישות,"רני בנאי - ועדת נגישות, לשכת המסחר ירושלים"
דוד,דהאן,דוד דהאן,נציג הארגונים החברתיים בכנסת,10,2016-11-01,,,דוד דהאן - נציג הארגונים החברתיים בכנסת
ליאורה,שמעוני,ליאורה שמעוני,"סמנכ""לית ומנהלת חטיבה, משרד מבקר המדינה",10,2016-11-21,משרד מבקר המדינה,"סמנכ""לית ומנהלת חטיבה","ליאורה שמעוני - סמנכ""לית ומנהלת חטיבה, משרד מבקר המדינה"
כרמל,קרני,כרמל קרני,"סגנית מנהל אגף, משרד מבקר המדינה",10,2016-11-21,משרד מבקר המדינה,סגנית מנהל אגף,"כרמל קרני - סגנית מנהל אגף, משרד מבקר המדינה"
שמעון,עמר,שמעון עמר,"מנהל אגף בכיר, משרד מבקר המדינה",10,2016-11-21,משרד מבקר המדינה,מנהל אגף בכיר,"שמעון עמר - מנהל אגף בכיר, משרד מבקר המדינה"
מירה,אבוראס תלי,מירה אבוראס תלי,"מנהל ביקורת בכיר, משרד מבקר המדינה",10,2016-11-21,משרד מבקר המדינה,מנהל ביקורת בכיר,"מירה אבוראס תלי - מנהל ביקורת בכיר, משרד מבקר המדינה"
אלירז,קראוס,אלירז קראוס,"מנהלת אגף חברה ורוח, משרד החינוך",10,2016-11-21,משרד החינוך,מנהלת אגף חברה ורוח,"אלירז קראוס - מנהלת אגף חברה ורוח, משרד החינוך"
דנה,פרידמן,דנה פרידמן,"מפמ""ר מדעי החברה, משרד החינוך",10,2016-11-21,משרד החינוך,"מפמ""ר מדעי החברה","דנה פרידמן - מפמ""ר מדעי החברה, משרד החינוך"
משה,וינשטוק,משה וינשטוק,"יו""ר המזכירות הפדגוגית, משרד החינוך",10,2016-11-21,משרד החינוך,"יו""ר המזכירות הפדגוגית","משה וינשטוק - יו""ר המזכירות הפדגוגית, משרד החינוך"
כמאל,עטילה,כמאל עטילה,דובר משרד החינוך,10,2016-11-21,,,כמאל עטילה - דובר משרד החינוך
טלי,אורנשטיין כהן,טלי אורנשטיין כהן,"מנהלת מרכז הדרכה פדגוגי, משרד החינוך",10,2016-11-21,משרד החינוך,מנהלת מרכז הדרכה פדגוגי,"טלי אורנשטיין כהן - מנהלת מרכז הדרכה פדגוגי, משרד החינוך"
חיאם,קאעדן,חיאם קאעדן,"סמנכ""ל המגזר הערבי, מרכז השלטון המקומי",10,2016-11-21,מרכז השלטון המקומי,"סמנכ""ל המגזר הערבי","חיאם קאעדן - סמנכ""ל המגזר הערבי, מרכז השלטון המקומי"
מרדכי,קרמניצר,מרדכי קרמניצר,"סגן נשיא, המכון הישראלי לדמוקרטיה",10,2016-11-21,המכון הישראלי לדמוקרטיה,סגן נשיא,"מרדכי קרמניצר - סגן נשיא, המכון הישראלי לדמוקרטיה"
יעל,נאמן,יעל נאמן,"מנכ""לית קרן לאוטמן",10,2016-11-21,,,"יעל נאמן - מנכ""לית קרן לאוטמן"
יניב,שגיא,יניב שגיא,"מנכ""ל גבעת חביבה",10,2016-11-21,,,"יניב שגיא - מנכ""ל גבעת חביבה"
יצחק,מזומן,יצחק מזומן,"מנהל מחלקה ציבורית, התנועה הרפורמית",10,2016-11-21,התנועה הרפורמית,מנהל מחלקה ציבורית,"יצחק מזומן - מנהל מחלקה ציבורית, התנועה הרפורמית"
חזי,טל עיני,חזי טל עיני,"מנהל ביקורת בכיר, משרד מבקר המדינה",10,2016-11-21,משרד מבקר המדינה,מנהל ביקורת בכיר,"חזי טל עיני - מנהל ביקורת בכיר, משרד מבקר המדינה"
איה,בן עמוס,איה בן עמוס,עמותת יוזמות קרן אברהם,10,2016-11-21,,,איה בן עמוס - עמותת יוזמות קרן אברהם
רובי,טסלר,רובי טסלר,הקואליציה לדמוקרטיה בחינוך,10,2016-11-21,,,רובי טסלר - הקואליציה לדמוקרטיה בחינוך
נוי,אלמן,נוי אלמן,מוזמנת,10,2016-11-21,,,נוי אלמן - מוזמנת
רותם,קפון,רותם קפון,"עוזרת למנהלת החטיבה לביקורת השלטון המקומי, משרד מבקר המדינה",10,2016-10-13,משרד מבקר המדינה,עוזרת למנהלת החטיבה לביקורת השלטון המקומי,"רותם קפון -  עוזרת למנהלת החטיבה לביקורת השלטון המקומי, משרד מבקר המדינה"
מרב,כהן,מרב כהן,"מנהלת ביקורת, משרד מבקר המדינה",10,2016-10-13,משרד מבקר המדינה,מנהלת ביקורת,"מרב כהן - מנהלת ביקורת, משרד מבקר המדינה"
יפעת,סולניק,יפעת סולניק,"מנהלת ביקורת, משרד מבקר המדינה",10,2016-10-13,משרד מבקר המדינה,מנהלת ביקורת,"יפעת סולניק - מנהלת ביקורת, משרד מבקר המדינה"
אורי,שיינין,אורי שיינין,"רפרנט תחום תעסוקה, משרד האוצר",10,2016-10-13,משרד האוצר,רפרנט תחום תעסוקה,"אורי שיינין - רפרנט תחום תעסוקה, משרד האוצר"
יעל,לינדנברג,יעל לינדנברג,"רפרנטית תעסוקה, משרד האוצר",10,2016-10-13,משרד האוצר,רפרנטית תעסוקה,"יעל לינדנברג - רפרנטית תעסוקה, משרד האוצר"
חיים,הלפרין,חיים הלפרין,"מנהל היחידה לתכניות משלימות למידה, משרד החינוך",10,2016-10-13,משרד החינוך,מנהל היחידה לתכניות משלימות למידה,"חיים הלפרין - מנהל היחידה לתכניות משלימות למידה, משרד החינוך"
נעמי,אבוטבטול,נעמי אבוטבטול,"מפקחת ארצית, משרד הרווחה והשירותים החברתיים",10,2016-10-13,משרד הרווחה והשירותים החברתיים,מפקחת ארצית,"נעמי אבוטבטול - מפקחת ארצית, משרד הרווחה והשירותים החברתיים"
